id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45728646,Guest suite in Montréal · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,753212,Georges,,Le Plateau-Mont-Royal,45.53885,-73.56037,Private room,21,31,13,2022-11-01,0.34,3,286,0,
27438926,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,202884942,Abbie,,Rosemont-La Petite-Patrie,45.53153,-73.60425,Entire home/apt,40,90,0,,,1,0,0,
910248010739253417,Rental unit in Montréal · ★New · 1 bedroom · 1 bed · 1 bath,65607998,Nabil,,Verdun,45.45442400791416,-73.54710361155901,Entire home/apt,55,31,0,,,1,27,0,
854389634569393267,Rental unit in Montréal · 2 bedrooms · 2 beds · 1 bath,368730072,Nouhaila,,Ville-Marie,45.502018150147684,-73.55693238124415,Entire home/apt,160,31,0,,,1,364,0,
767425771328334796,Rental unit in Montréal · ★4.80 · Studio · 1 bed · 1 bath,162017221,Damian,,Ville-Marie,45.51769,-73.56077,Entire home/apt,60,31,4,2023-08-16,0.39,2,0,4,
710951063189301119,Rental unit in Montréal · ★New · 1 bedroom · 1 bed · 1 shared bath,196282409,Lucie,,Ville-Marie,45.51173093794683,-73.56598972729608,Private room,,31,0,,,1,29,0,
839757094570678261,Townhouse in Montréal · ★4.75 · 1 bedroom · 1 bed · 1.5 baths,6178250,Michael,,Le Sud-Ouest,45.49187873736566,-73.55919561733994,Entire home/apt,800,1,4,2023-09-05,0.62,9,0,4,"294243, expires: 2024-11-30"
979639365844896994,Rental unit in Montréal · 1 bedroom · 1 bed · 1 bath,484415805,My Studio Montreal,,Le Plateau-Mont-Royal,45.514911802024706,-73.57609341399481,Entire home/apt,120,31,0,,,30,37,0,
23149282,Hostel in Montréal · 1 bedroom · 1 bed · 8 shared baths,172058803,Philippe,,Le Plateau-Mont-Royal,45.50794,-73.57601,Private room,35,35,2,2019-08-29,0.03,15,0,0,
37522616,Townhouse in Montréal · 4 bedrooms · 4 beds · 2 baths,118132081,Maria,,Le Sud-Ouest,45.46042,-73.59004,Entire home/apt,110,180,0,,,1,0,0,
27394982,Hostel in Montréal · 1 bedroom · 1 bed · 8 baths,172058803,Philippe,,Le Plateau-Mont-Royal,45.50781,-73.57747,Private room,57,35,2,2023-08-01,0.04,15,0,1,
12548574,Rental unit in Montréal · ★4.87 · 1 bedroom · 1 bed · 1 bath,27509188,Bérangère,,Rosemont-La Petite-Patrie,45.54655,-73.58279,Entire home/apt,65,32,15,2023-08-17,0.16,1,3,3,
40942063,Condo in Montréal · Studio · 1 bed · 1 bath,318990827,Gustav,,Ville-Marie,45.50563,-73.564,Entire home/apt,110,32,1,2020-02-07,0.02,1,0,0,
43984897,Condo in Montréal · ★4.95 · 1 bedroom · 2 beds · 1 bath,54407272,Genevieve,,Ville-Marie,45.51224,-73.56892,Entire home/apt,60,32,21,2022-05-31,0.50,1,0,0,
42078573,Condo in Montréal · 1 bedroom · 2 beds · 1 bath,94631368,Hiba,,Ville-Marie,45.49541,-73.56981,Entire home/apt,80,90,0,,,5,70,0,
36595596,Rental unit in Montréal · ★5.0 · 2 bedrooms · 2 beds · 1 bath,11071361,Matt,,Le Plateau-Mont-Royal,45.51699,-73.57226,Entire home/apt,175,31,5,2023-08-26,0.12,3,0,2,
